Track Code;Rev.;Order Number;Line;REDTag;Short Tag;Cell;Reason;Pass Zone;PickInterrupted;Zone
124FKH3;0;361262472;11;NO;NO;1;Pass Zone;1;0;5
137FKH3;0;252187900;11;YES;NO;2;Pass Zone;1;0;5
13NFKH3;0;361264782;11;NO;NO;1;Pass Zone;1;0;5
14BFKH3;0;273664644;11;YES;NO;2;Pass Zone;1;0;5
14BFKH3;0;273664644;11;YES;NO;2;Pick Interrupted;0;1;3
14LFKH3;0;671550841;15;NO;NO;0;Pass Zone;1;0;5
17NFKH3;1;471459688;11;YES;NO;1;Pass Zone;1;0;5
1CCFKH3;0;361268134;11;NO;NO;1;Pass Zone;1;0;5
1DDFKH3;1;152906690;15;YES;NO;0;Pass Zone;1;0;5
1GVGKH3;0;273636008;11;NO;NO;1;Pass Zone;1;0;5
1HFFKH3;0;432450192;11;YES;NO;1;Pass Zone;1;0;5
1HKFKH3;0;163081118;11;YES;NO;1;Pass Zone;1;0;5
1P1FKH3;0;361264598;11;YES;NO;2;Pass Zone;1;0;5
1Q7FKH3;0;361262470;15;NO;NO;0;Pass Zone;1;0;5
1ZBFKH3;0;361268127;11;NO;NO;1;Pass Zone;1;0;5
214FKH3;0;361262472;11;NO;NO;1;Pass Zone;1;0;5
21JFKH3;0;273664626;11;NO;NO;1;Pass Zone;1;0;5
26BFKH3;0;273664631;11;NO;NO;1;Pass Zone;1;0;5
2GVGKH3;0;273636008;11;NO;NO;1;Pass Zone;1;0;5
2H1FKH3;0;172369346;15;NO;NO;0;Pass Zone;1;0;5
2KJFKH3;0;273664633;11;NO;NO;1;Pass Zone;1;0;5
2KMFKH3;0;273635358;11;YES;NO;1;Pass Zone;1;0;5
2MMFKH3;0;273635358;11;NO;NO;1;Pass Zone;1;0;5
2T9FKH3;0;273664624;11;NO;NO;1;Pass Zone;1;0;5
2T9FKH3;0;273664624;11;NO;NO;1;Pick Interrupted;0;1;2
2VNGKH3;0;20449686;11;NO;NO;1;Pass Zone;1;0;5
2YBFKH3;0;361268127;11;NO;NO;1;Pass Zone;1;0;5
2YSGKH3;0;223414868;11;NO;NO;1;Pass Zone;1;0;5
309FKH3;1;163077275;15;NO;NO;0;Pass Zone;1;0;5
31FFKH3;0;273664637;11;NO;NO;2;Pass Zone;1;0;5
38HCKH3;1;671567478;15;NO;NO;0;Pass Zone;1;0;5
39RGKH3;0;20450234;15;NO;NO;0;Pass Zone;1;0;5
3B5FKH3;0;273665408;15;NO;NO;0;Pass Zone;1;0;5
3BBFKH3;0;273664634;11;YES;NO;2;Pass Zone;1;0;5
3BBFKH3;0;273664634;11;YES;NO;2;Pick Interrupted;0;1;3
3BMFKH3;0;163057595;11;YES;NO;1;Pass Zone;1;0;5
3BMFKH3;0;163057595;11;YES;NO;1;Pick Interrupted;0;1;2
3H9FKH3;0;671595272;15;YES;NO;0;Pass Zone;1;0;5
3J1FKH3;0;172370046;15;YES;NO;0;Pass Zone;1;0;5
3JMFKH3;0;282979427;11;YES;NO;1;Pass Zone;1;0;5
3L7FKH3;0;163080140;11;NO;NO;1;Pass Zone;1;0;5
3P7FKH3;0;361262470;15;NO;NO;0;Pass Zone;1;0;5
3PMFKH3;0;273635356;11;NO;NO;1;Pass Zone;1;0;5
3QJCKH3;0;163051868;11;NO;NO;1;Pass Zone;1;0;5
3QMFKH3;0;273635356;11;NO;NO;1;Pick Interrupted;0;1;2
3SVGKH3;0;273636009;11;NO;NO;1;Pass Zone;1;0;5
3WFFKH3;0;361268189;11;NO;NO;1;Pass Zone;1;0;5
3WSGKH3;0;223414866;11;NO;NO;1;Pass Zone;1;0;5
3ZDFKH3;0;273664630;11;NO;NO;1;Pass Zone;1;0;5
40QGKH3;1;163083605;11;YES;NO;1;Pass Zone;1;0;5
428FKH3;0;191841590;15;NO;NO;0;Pass Zone;1;0;5
42MFKH3;0;671556465;11;YES;NO;1;Pass Zone;1;0;5
43KFKH3;0;252187899;11;NO;NO;1;Pass Zone;1;0;5
48PFKH3;0;20449671;11;NO;NO;1;Pass Zone;1;0;5
49DFKH3;1;671586680;11;YES;NO;1;Pass Zone;1;0;5
49RGKH3;0;20450234;15;NO;NO;0;Pass Zone;1;0;5
4BBFKH3;0;273664634;11;YES;NO;2;Pass Zone;1;0;5
4BBFKH3;0;273664634;11;YES;NO;2;Pick Interrupted;0;1;3
4GNFKH3;0;273640059;15;NO;NO;0;Pass Zone;1;0;5
4LBFKH3;1;662823052;15;NO;NO;0;Pass Zone;1;0;5
4NMFKH3;0;273635356;11;NO;NO;1;Pass Zone;1;0;5
4QMFKH3;0;273635356;11;YES;NO;1;Pass Zone;1;0;5
4RLFKH3;0;273661053;15;YES;NO;0;Pass Zone;1;0;5
4T7FKH3;0;702167331;11;YES;NO;1;Pass Zone;1;0;5
4VLFKH3;0;273661075;11;YES;NO;1;Pass Zone;1;0;5
52KFKH3;0;252187899;11;YES;NO;1;Pass Zone;1;0;5
56LFKH3;1;671555315;11;YES;NO;2;Pass Zone;1;0;5
57PGKH3;0;20449952;15;NO;NO;0;Pass Zone;1;0;5
59BFKH3;0;273664634;11;NO;NO;2;Pass Zone;1;0;5
59NFKH3;0;471459696;11;NO;NO;1;Pass Zone;1;0;5
5BPGKH3;0;20450186;15;NO;NO;0;Pass Zone;1;0;5
5CNFKH3;1;471459687;11;NO;NO;2;Pass Zone;1;0;5
5HLFKH3;0;273661071;11;YES;NO;2;Pass Zone;1;0;5
5K1FKH3;0;671596857;15;YES;NO;0;Pick Interrupted;0;1;13
5S7FKH3;0;702166443;11;NO;NO;1;Pass Zone;1;0;5
5SVGKH3;0;273636009;11;NO;NO;1;Pass Zone;1;0;5
5T6FKH3;0;20450105;15;NO;NO;0;Pass Zone;1;0;5
5Y9FKH3;0;273664638;11;NO;NO;1;Pass Zone;1;0;5
5YSGKH3;0;223414868;11;NO;NO;1;Pass Zone;1;0;5
5Z3FKH3;0;361262471;15;NO;NO;0;Pass Zone;1;0;5
624FKH3;0;361262472;11;NO;NO;1;Pass Zone;1;0;5
691FKH3;0;172368064;15;YES;NO;0;Pass Zone;1;0;5
695FKH3;0;273665383;15;NO;NO;0;Pass Zone;1;0;5
69LFKH3;0;361261317;15;NO;NO;0;Pass Zone;1;0;5
6BBFKH3;0;273664634;11;NO;NO;2;Pick Interrupted;0;1;3
6GFFKH3;0;432450192;11;NO;NO;2;Pass Zone;1;0;5
6HFFKH3;0;432450192;11;NO;NO;2;Pass Zone;1;0;5
6K9FKH3;0;671595501;15;YES;NO;0;Pass Zone;1;0;5
6KKFKH3;0;163081945;11;NO;NO;1;Pass Zone;1;0;5
6MNGKH3;0;20449673;11;YES;NO;1;Pass Zone;1;0;5
6NCCKH3;1;432453381;11;NO;NO;2;Pick Interrupted;0;1;3
6PDFKH3;0;20448541;15;NO;NO;0;Pass Zone;1;0;5
6WJCKH3;1;172369612;15;YES;NO;0;Pass Zone;1;0;5
77CFKH3;0;361268143;11;YES;NO;1;Pass Zone;1;0;5
7B5FKH3;0;33594362;15;NO;NO;0;Pick Interrupted;0;1;13
7GNFKH3;0;273640059;15;NO;NO;0;Pass Zone;1;0;5
7K7FKH3;0;105623248;11;NO;NO;1;Pass Zone;1;0;5
7LNGKH3;0;20449673;11;NO;NO;1;Pass Zone;1;0;5
7S9FKH3;0;273664624;11;YES;NO;2;Pass Zone;1;0;5
7T7FKH3;0;163082428;11;NO;NO;1;Pass Zone;1;0;5
7T8FKH3;0;163062849;11;NO;NO;2;Pass Zone;1;0;5
7VCFKH3;0;33596164;15;YES;NO;0;Pass Zone;1;0;5
7WJCKH3;1;172369612;15;YES;NO;0;Pass Zone;1;0;5
7X6FKH3;0;144201155;11;YES;NO;1;Pass Zone;1;0;5
7Z4FKH3;0;671594855;11;YES;NO;2;Pass Zone;1;0;5
7Z4FKH3;0;671594855;11;YES;NO;2;Pick Interrupted;0;1;3
805FKH3;0;671594855;11;YES;NO;2;Pass Zone;1;0;5
827FKH3;0;252187900;11;YES;NO;2;Pass Zone;1;0;5
827FKH3;0;252187900;11;YES;NO;2;Pick Interrupted;0;1;3
82BFKH3;0;273664644;11;NO;NO;2;Pass Zone;1;0;5
832FKH3;1;105623564;15;YES;NO;0;Pass Zone;1;0;5
8GNFKH3;0;273640059;15;NO;NO;0;Pass Zone;1;0;5
8LCCKH3;0;163081445;15;YES;NO;0;Pass Zone;1;0;5
8PMFKH3;0;273635356;11;NO;NO;1;Pass Zone;1;0;5
8VNFKH3;0;273664787;11;YES;NO;1;Pass Zone;1;0;5
8W8FKH3;0;163062849;11;NO;NO;1;Pass Zone;1;0;5
909FKH3;0;113896562;15;YES;NO;0;Pass Zone;1;0;5
938FKH3;0;662866931;15;NO;NO;0;Pass Zone;1;0;5
93FFKH3;0;273664632;11;NO;NO;1;Pass Zone;1;0;5
93JFKH3;0;273664636;11;YES;NO;1;Pass Zone;1;0;5
98GFKH3;0;540586143;15;YES;NO;0;Pass Zone;1;0;5
98HFKH3;0;163063652;11;NO;NO;1;Pass Zone;1;0;5
99LFKH3;0;432450937;15;YES;NO;;Pass Zone;1;0;5
9BBFKH3;0;273664634;11;YES;NO;2;Pass Zone;1;0;5
9CCFKH3;0;361268134;11;NO;NO;1;Pass Zone;1;0;5
9DVGKH3;0;273636008;11;YES;NO;1;Pass Zone;1;0;5
9F4FKH3;1;163030126;15;NO;NO;0;Pass Zone;1;0;5
9FGFKH3;0;702131645;15;NO;NO;0;Pass Zone;1;0;5
9HNFKH3;1;163028477;15;YES;NO;0;Pass Zone;1;0;5
9J1FKH3;0;540585043;15;YES;NO;0;Pass Zone;1;0;5
9V9FKH3;0;273664624;11;NO;NO;1;Pass Zone;1;0;5
9VJCKH3;1;662864493;15;YES;NO;0;Pass Zone;1;0;5
9XSGKH3;0;223414868;11;NO;NO;1;Pass Zone;1;0;5
9YLFKH3;0;273661057;15;NO;NO;0;Pass Zone;1;0;5
9Z1FKH3;0;172365548;11;NO;NO;1;Pass Zone;1;0;5
B0JFKH3;0;273664626;11;NO;NO;1;Pass Zone;1;0;5
BBGFKH3;0;361262812;11;YES;NO;1;Pass Zone;1;0;5
BBGFKH3;0;361262812;11;YES;NO;1;Pick Interrupted;0;1;2
BFKFKH3;0;361267513;15;NO;NO;0;Pass Zone;1;0;5
BGHFKH3;0;172366397;11;YES;NO;1;Pass Zone;1;0;5
BHLFKH3;0;273661071;11;YES;NO;2;Pass Zone;1;0;5
BJ1FKH3;0;540585043;15;YES;NO;0;Pass Zone;1;0;5
BJ9FKH3;0;671596115;15;NO;NO;0;Pass Zone;1;0;5
BLDFKH3;0;20448532;15;YES;NO;0;Pass Zone;1;0;5
BMGFKH3;0;33580662;15;YES;NO;0;Pass Zone;1;0;5
BPLFKH3;0;273661053;15;NO;NO;0;Pass Zone;1;0;5
C0JFKH3;0;273664626;11;NO;NO;1;Pass Zone;1;0;5
C1QGKH3;1;163083605;11;NO;NO;1;Pass Zone;1;0;5
C6NFKH3;1;471459688;11;NO;NO;1;Pass Zone;1;0;5
